Fecha de Solicitud,Fecha de Entrega,Solicitud,Linea de Productos,Tipo,Piezas,Estado,Responsable,Solicitante,Trabajo,Semana
2025-07-02,2025-07-03,610-25/ Sofía/ Hamburguesas/ Chorigurger/ Material Digital,Hamburguesas,Post y Story,4,Entregado,Diego,Maria Julia Suarez,Diseño + Redacción,1
2025-07-01,2025-07-24,658-25/Sofía/1kg Tenders/POP,Preparados,Material PDV,3,Entregado,René,Maria Isabel,Diseño + Arte Finalista,1
2025-07-03,2025-07-07,"659-25/Sofía Edición Nº31 de la revista ""Avicultura al Día"" - AMEVEA.",Sofía,Arte,1,Entregado,Pupi,Fernanda Roca,Arte Finalista,1
2025-07-08,2025-08-05,660-25/Sofía/Solicitud de trabajo publicitario - Cuponeras de Incentivos,Sofía,Mailing,5,Entregado,Diego,Alejandra,Diseño,2
2025-07-08,,661-25/Sofía/Pavo/Brief RAZA - CAMPAÑA PAVO NAVIDAD 2025,Pavo,Campaña,,En Agencia,Sergio,Maria Isabel,Diseño + Creatividad,2
2025-07-08,,662-25/Sofía/Cerdpo/Brief - Pierna de cerdo con cuero,Cerdo,Campaña,2,Finales,Luján,Maria Isabel ,Diseño+Redacción,2
2025-07-08,,663-25/Sofía/Cerdo/Briefs medallones y bifes de bondiola,Cerdo,Campaña,1,En cliente,Luján,Maria Isabel ,Diseño+Redacción,2
2025-07-08,2025-07-15,664-25/Sofía/Stand EXMA,Sofía,Stand,5,Entregado,René,Alejandra,Diseño + Arte Finalista,2
2025-07-08,2025-07-10,665-25/ Sofía/ Campaña Incentivo Filete de Pollo Corte Fino,Sofía,Material PDV,7,Entregado,René,Fernanda Roca,Diseño + Redacción,2
2025-07-08,2025-07-10,666-25/Sofía/RRHH/ Anuncio Analista de Seguridad de la Información (facebook / linkedin),Sofía,Post,1,Entregado,Pupi,Natali Nicole,Diseño+Arte Finalista,2
2025-07-11,2025-07-15,667-25/Sofía/Trade/Solicitud de arte caja silpancho res y pollo,Preparados,Material PDV,2,Entregado,Pupi,Alfredo Quispe,Diseño+Arte Finalista,2
2025-07-11,2025-07-15,"668-25/Sofía/RRHH/Vacancia Pag. Web, Linkedin, Facebook.",RRHH,Post,2,Entregado,Pupi,Natali Nicole,Diseño+Arte Finalista,2
2025-07-11,2025-07-31,669-25/Sofía/Pavo/Artes para pavo/Digital,Pavo,Post,5,Entregado,René,Maria Julia Suarez,Diseño+Redacción,2
2025-07-10,2025-07-15,670-25/Sofía/Genérico/Arte Sofía para revista,Sofía,Arte,1,Entregado,Pupi,Alejandra,Diseño+Arte Finalista,2
2025-07-11,2025-07-15,671-25/Sofía/Arte partes del cerdo gnérico/Roller,Cerdo,Roller,1,Entregado,Pupi,Fernanda Roca,Diseño + Arte Finalista,2
2025-07-12,2025-07-15,672-25/Sofía/Trade/Mortadela,Mortadelas,Empaque,1,Entregado,Pupi,Araceli,Diseño+Arte Finalista,2
2025-07-14,2025-07-15,"673-25/Sofía/RRHH/ Vacancia Pag. Web, LinkedIn, Facebook/AUXILIAR TECNICO DE CONTROL DE CALIDAD",RRHH,Post,1,Entregado,Pupi,Valentina,Diseño+Arte Finalista,2
2025-07-15,2025-07-17,674-25/Sofía/Cerdo-Huevo/Artes auspicio Gym Nacir,Huevo,Branding,2,Entregado,Diego,Fernanda Roca,Diseño + Arte Finalista,3
2025-07-16,2025-09-09,675-25/Sofía/Arte huevo genérica/Digital-ARTES para mantener campaña de Consumo de Huevo,Huevo,Post,12,Entregado,René,Maria Julia,Diseño+Redacción,3
2025-07-17,2025-08-08,676-25/Sofía/PDV/Diseño de Cenefas Sofía,Sofía,Cenefa,2,Entregado,René,Alejandra,Diseño + Arte Finalista,3
2025-07-17,,677-25/Sofía/Arte para acrílico procesados,Preparados,Material PDV,5,En cliente,Diego,Fernanda,Diseño + Arte Finalista,3
2025-07-17,2025-08-04,678-25/Sofía/Digital/Cover Bicentenario,Digital,Cover,1,Entregado,Diego,Pablo Daniel Bellido,Diseño+redacción,3
2025-07-17,2025-08-08,679-25/Sofía/Campaña consumo de cerdo - enfoque chuletas,Cerdo,Campaña,1,Entregado,René,Maria Isabel,Diseño+redacción,3
2025-07-18,2025-07-18,680-25/Sofía/Digital/Portal Soy Santa Cruz Bolivia/Sillpancho,Yo Chef,Post,2,Entregado,Pupi,Natali Nicole,Diseño+Arte Finalista,3
2025-07-23,2025-09-13,681-25/Sofía/Solicitud propuesta cambio de imagen-Fidasur Beni-Mia Plaza,Sofía,Branding,6,Entregado,Luján,Flavia,Diseño + Arte Finalista,4
2025-07-25,2025-09-22,682-25/Sofía/Embutidos/Propuesta colgante chorizos Sofía,Sofía,Material PDV,2,Finales,René,Flavia,Diseño + Arte Finalista,4
2025-07-25,2025-08-04,683-25/Sofía/Hamburguesa/Propuesta Comercial URKUPIÑA/ AVICOLA SOFIA ,Hamburguesas,Banner,3,Entregado,Luján,Carlos Gordillo,Diseño + Redacción,4
2025-07-28,,684-25/Sofía/Hamburguesa/Campaña Apetitosidad con Nueva Imagen Hamburguesas,Hamburguesas,Rejilla,5,En cliente,Luján,Carlos Gordillo,Diseño + Redacción,4
2025-07-24,2025-08-04,"685-25/Sofía/RRHH/Vacancia Pag. Web, Linkedin, Facebook.",RRHH,Post,1,Entregado,Pupi,Valentina Suarez,Diseño+Arte Finalista,4
2025-07-24,2025-08-04,686-25/Sofía/Embutidos/Tubo+Sachet Martadela Jamonada,Mortadelas,KV,1,Entregado,Pupi,Araceli,Diseño+Arte Finalista,4
2025-07-23,2025-09-22,630-25/ Sofía/ Embutidos/ Material 11x10cm,Embutidos,Material PDV,7,Finales,René,Flavia,Diseño + Arte Finalista,4
2025-07-29,2025-07-30, 687-25/Sofía/Pin reconocimiento Convención,Sofía,Arte,1,Entregado,Luján,Alejandra,Diseño ,5
2025-07-29,2025-07-30,690-25/Sofía/Huevos/Sticker,Huevo,Adhesivo,6,Entregado,Luján,Valentina,Diseño + Arte Finalista,5
2025-07-23,2025-09-16,691-25/Sofía/Pollo/Artes para bandeja rendidora parte 2,Pollo,Post,3,Entregado,Diego,Fernanda,Diseño + Redacción,4
2025-07-29,2025-07-30,"692-25/Sofía/RRHH/Vacancia Pag. Web, LinkedIn, Facebook.",Digital,Post,1,Entregado,Pupi,Valentina,Arte Finalista,5
2025-07-29,2025-08-08,693-25/Sofía/Procesados/Artes Cerdo agridulce  y tender 1KG,Digital,Post,6,Entregado,Pupi,Pablo Daniel Bellido,Diseño + Redacción,5
2025-07-31,2025-07-31,694-25/Sofía/Arte la Gran Batalla_PRIORIDAD,Sofía,Bastidor,1,Entregado,Pupi,Alejandra,Diseño + Arte Finalista,5
